Date,EMP,EMP_PART,EMP_TEMP,UNEMP_RATE,UNEMP_DURA_6mth,UNEMP_DURA_6.12mth,UNEMP_DURA_12mth.,UNEMP_DURA_24mth.,EMP_RATE,EMP_ACT,EMP_ACT_RATE,CLAIMS,CLAIMS_RATE,TOT_WEEK_HRS,AVG_WEEK_HRS,AVG_WEEK_HRS_FULL,AWE_ALL,AWE_CONS,AWE_MANU,AWE_PRIV,AWE_PUB,AWE_SERV,VAC_TOT,VAC_CONS,VAC_MANU,IOP_PROD,IOP_CAP_GOOD,IOP_DUR,IOP_ENER,IOP_GOOD,IOP_INT_GOOD,IOP_MACH,IOP_MANU,IOP_MINE,IOP_NON_DUR,IOP_PETRO,IOP_OIL_EXTRACT,IOS,IOS_45,IOS_46,IOS_47,IOS_G,IOS_EDUC,IOS_PNDS,RSI,CAR_REGIS,RETAIL_TRADE_INDEX,AVG_WEEK_RETAIL_SALE,AVG_WEEK_RETAIL_SALE_NON_FOOD,CPIH_ALL,CPI_ALL,CPI_EX_ENER,CPI_GOOD,CPI_DUR,CPI_NON_DUR,CPI_SERV,CPI_CLOTH,CPI_TRANS,RPI_ALL,RPI_GOOD,RPI_SERV,RPI_HOUSE,EXP_TOT,EXP_GOOD,IMP_ALL,IMP_GOOD,EXP_FUEL,IMP_FUEL,EXP_OIL,IMP_OIL,EXP_MACH,IMP_MACH,EXP_METAL,IMP_METAL,EXP_CRUDE_MAT,IMP_CRUDE_MAT,GBP_BROAD,GBP_CAN,GBP_EUR,GBP_JAP,GBP_US,OIL_PRICE,BANK_RATE,CONS_CREDIT_ex_student_loan,TOT_LENDING_APP,TOT_HOUSE_APP,MORT_FIXED_RATE_5YRS,MORT_FIXED_RATE_2YRS,M1,M2,M3,M4,LIBOR_3mth,BGS_5yrs_yld,BGS_10yrs_yld,BGS_20yrs_yld,FTSE_ALL,FTSE250,VIX,SP500,UK_focused_equity,EUR_UNC_INDEX,BCI,CCI,CLI,PPI_MANU,PPI_MACH,PPI_OIL,PPI_METAL,PPI_MOTOR,UK_GDP_4,,,,,
01/03/1990,0.000371678,NA,NA,0,NA,NA,NA,NA,0,0.000387331,0.1,-0.008110447,0,-0.000440577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014313842,NA,NA,NA,NA,NA,0.009434032,0.015480185,0.025548196,NA,-0.021999931,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01902623,0.00191022,NA,NA,0.003038588,0.003601116,0.005863287,0.004115046,0.002677927,0.007884999,0.007156376,0.002388998,0.006602891,0.009390749,0.005288915,0.006882383,0.032268134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.029017384,-0.056938104,NA,0.007532935,-0.043128823,-0.074704946,0,NA,NA,NA,NA,NA,0.00862409,0.015424433,0.017103745,0.009431789,0.1676,NA,NA,NA,-0.006543979,-0.010866775,19.73,0.023965503,NA,16.6858,-0.18991,-0.73772,-0.01812,0.005535516,NA,NA,NA,NA,0.57048502,,,,,
01/04/1990,0.000445831,NA,NA,0,NA,NA,NA,NA,0,0.00049275,0,-0.008813423,-0.1,-0.000440771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006439172,NA,NA,NA,NA,NA,-0.023754086,-0.003076926,0.024237404,NA,-0.046520016,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.031914516,-0.01344881,NA,NA,0.018756734,0.009921396,0.007364189,0.006084624,0.001628115,0.006238542,0.010537422,0.002045533,0.00610113,0.020242304,0.007428816,0.007600097,0.055238128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002529004,-0.005860516,NA,0.040737317,0.007847986,-0.10152663,0,NA,NA,NA,NA,NA,0.005747176,0.008591523,0.007713299,0.008524374,-0.0586,NA,NA,NA,-0.066545938,-0.063489054,19.52,-0.02725521,NA,-31.26977,0.05698,-0.28173,0.0532,0.010180207,NA,NA,NA,NA,#N/A,,,,,
01/05/1990,0.00048276,NA,NA,0,NA,NA,NA,NA,0,0.000422164,0,-0.001721006,0,-0.000771818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006439172,NA,NA,NA,NA,NA,-0.001202646,0.001539646,-0.018723951,NA,-0.011207453,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068914252,0.022945557,NA,NA,0.008355703,0.007200616,0.007423307,0.006788453,0.001946194,0.006225305,0.009038169,0.001929187,0.00341376,0.008420604,0.005816883,0.009051352,0.013616124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012351546,0.033796587,NA,-0.004655761,0.024373793,-0.015765222,0,NA,NA,NA,NA,NA,0.00183284,0.007120409,0.006412568,0.010867536,-0.0662,NA,NA,NA,0.10118751,0.083530991,17.370001,0.088000978,NA,-26.87912,-0.02541,0.03633,0.06436,0.004851848,NA,NA,NA,NA,#N/A,,,,,
01/06/1990,0.000371195,NA,NA,0,NA,NA,NA,NA,0,0.00024618,0,0.010660676,0.1,-0.000882807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015384919,NA,NA,NA,NA,NA,-0.006035021,-0.001539646,0.097806281,NA,0.042132611,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.078392996,-0.022945557,NA,NA,0.005068238,0.004882807,0.005461215,0.003491373,0.002839756,0.005938325,0.009615713,0.001691277,0.003029659,0.005859838,0.004829888,0.007959529,0.009541046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025446335,0.016803736,NA,0.018519115,0.01865902,-0.0793568,0,NA,NA,NA,NA,NA,0.00799599,0.009102795,0.010417727,0.01608739,-0.179,NA,NA,NA,0.014655083,0.020123516,15.5,-0.008926085,NA,31.13661,-0.15989,0.24071,0.01443,0.003744859,NA,NA,NA,NA,0.557205672,,,,,
01/07/1990,-0.000556845,NA,NA,0.1,NA,NA,NA,NA,0,0.000210963,0,0.014226417,0,-0.001878557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.024469991,NA,NA,NA,NA,NA,-0.015863664,-0.010844413,-0.155814055,NA,0.016561509,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.018018506,0.015355388,NA,NA,0.005623544,0.004190505,0.004827437,0.002431079,0.004362981,0.000346337,0.008641612,0.002142984,0.004983367,0.006184009,0.005150934,0.008059544,0.011698112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035600455,0.04287138,NA,0.024999428,0.056134138,0.128100748,0,NA,NA,NA,NA,NA,-0.000542237,0.002178965,0.00080902,0.003053298,-0.0272,NA,NA,NA,-0.020903721,-0.023807845,21.110001,-0.005236846,NA,-30.58893,-0.38053,0.24134,-0.06151,0.000883616,NA,NA,NA,NA,#N/A,,,,,
01/08/1990,-0.00111462,NA,NA,0.1,NA,NA,NA,NA,-0.1,-0.00035163,0,0.017396034,0.1,-0.002547208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001302932,NA,NA,NA,NA,NA,0.009792,0.004662013,-0.007309974,NA,0.027633964,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020990276,-0.01342302,NA,NA,0.007161933,0.009205475,0.005888595,0.01152483,0.004981905,0.008778653,0.006025988,0.001856153,0.022900961,0.009346919,0.007674008,0.006767392,0.010199511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021816119,0.038766543,NA,0.038760517,0.049472047,0.458906683,0,NA,NA,NA,NA,NA,0.00105536,0.006317796,0.008290191,0.007777596,0.0316,NA,NA,NA,-0.087375307,-0.125371385,29.9,-0.099062814,NA,-6.78931,-0.46295,0.09722,-0.13538,0.010329487,NA,NA,NA,NA,#N/A,,,,,
01/09/1990,-0.001674263,NA,NA,0.1,NA,NA,NA,NA,-0.1,-0.00049249,-0.1,0.027326247,0.2,-0.003332226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005221944,NA,NA,NA,NA,NA,-0.008562743,-0.010912033,0.008765578,NA,-0.036367644,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01014026,-0.001932368,NA,NA,0.007518077,0.00885877,0.005593893,0.008170374,0.001231134,0.007095424,0.009897298,0.001574013,0.022130825,0.008467295,0.005947296,0.008463371,0.00694258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013764928,4.59781E-05,NA,-0.072666214,-0.011221799,0.250440819,0,NA,NA,NA,NA,NA,0.009853766,0.010219583,0.010276285,0.00914127,-0.0662,NA,NA,NA,-0.088371908,-0.103834095,29.110001,-0.052540711,NA,83.20232,-0.52975,0.1199,-0.19234,0.010151101,NA,NA,NA,NA,-1.645520725,,,,,
01/10/1990,-0.001863586,NA,NA,0.1,NA,NA,NA,NA,-0.2,-0.000281532,0,0.026657285,0.1,-0.003343367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.001309758,NA,NA,NA,NA,NA,-0.003692312,-0.001568628,0.027968836,NA,0.02787302,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.048520416,-0.003875974,NA,NA,0.008317529,0.006924013,0.00511763,0.006498267,0.003483607,0.011633557,0.00839954,0.001407488,0.008290528,0.007286467,0.005847272,0.007462248,0.0077557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012591277,0.036520342,NA,-0.031901806,0.034940793,0.031688621,-0.7826,NA,NA,NA,NA,NA,0.0046635,0.003819459,0.002991961,0.007892105,-0.889,NA,NA,NA,0.031196729,0.045763818,30.040001,-0.006720747,NA,-0.16867,-0.55394,0.3937,-0.22005,0.007076707,NA,NA,NA,NA,#N/A,,,,,
01/11/1990,-0.002053964,NA,NA,0.2,NA,NA,NA,NA,-0.1,-0.000387235,0,0.027206342,0.2,-0.003802711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005256254,NA,NA,NA,NA,NA,-0.006184312,-0.006299233,-0.02144471,NA,0.035385442,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.050333204,-0.00779731,NA,NA,0.004866621,0.003363397,0.005077569,0.001678641,0.001946765,0.006962871,0.004397159,0.001468054,-0.004933678,-0.000910266,0.003124975,0.005928085,-0.012396147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005310724,0.012904541,NA,0.004650787,0.00987195,-0.085602825,-0.2174,NA,NA,NA,NA,NA,0.009481745,0.011866721,0.010137217,0.009640449,-0.3811,NA,NA,NA,0.03896225,0.019590541,22.16,0.058206844,NA,-27.8707,-0.5811,0.36326,-0.21587,0.000423872,NA,NA,NA,NA,#N/A,,,,,
01/12/1990,-0.002432864,NA,NA,0.1,NA,NA,NA,NA,-0.2,-0.000951123,-0.1,0.04033696,0.2,-0.003817227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005284028,NA,NA,NA,NA,NA,-0.036643392,-0.006339165,-0.028212166,NA,-0.011965168,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.048823255,0.011673284,NA,NA,0.002837399,0.001668656,0.004277054,-0.000722495,0.000326566,0.005288692,0.008299881,0.00102406,-0.010814633,0.001873701,0.003357687,0.007488153,0.003704595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010582569,-0.022659847,NA,0.015331664,-0.020050024,-0.156619001,0,NA,NA,NA,NA,NA,0.002843353,0.003570446,-0.000316449,0.004619004,0.1881,NA,NA,NA,0.00013565,0.009558459,26.379999,0.024524557,NA,-3.27535,-0.60542,0.40498,-0.14203,0.000606795,NA,NA,NA,NA,-0.821104147,,,,,
