"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1979-Q1","Q1-1979","GBP","Pound Sterling","0","Units",,,4077.69755982307,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1979-Q2","Q2-1979","GBP","Pound Sterling","0","Units",,,4254.38357794407,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1979-Q3","Q3-1979","GBP","Pound Sterling","0","Units",,,4477.52441790006,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1979-Q4","Q4-1979","GBP","Pound Sterling","0","Units",,,4707.29181351039,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1980-Q1","Q1-1980","GBP","Pound Sterling","0","Units",,,4930.85056469725,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1980-Q2","Q2-1980","GBP","Pound Sterling","0","Units",,,5177.68142333083,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1980-Q3","Q3-1980","GBP","Pound Sterling","0","Units",,,5376.47912799055,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1980-Q4","Q4-1980","GBP","Pound Sterling","0","Units",,,5519.69383759042,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1981-Q1","Q1-1981","GBP","Pound Sterling","0","Units",,,5624.68105064356,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1981-Q2","Q2-1981","GBP","Pound Sterling","0","Units",,,5754.63718950111,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1981-Q3","Q3-1981","GBP","Pound Sterling","0","Units",,,5914.94786375277,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1981-Q4","Q4-1981","GBP","Pound Sterling","0","Units",,,6066.06102203273,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1982-Q1","Q1-1982","GBP","Pound Sterling","0","Units",,,6203.04296729428,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1982-Q2","Q2-1982","GBP","Pound Sterling","0","Units",,,6334.87951577252,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1982-Q3","Q3-1982","GBP","Pound Sterling","0","Units",,,6431.5635373215,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1982-Q4","Q4-1982","GBP","Pound Sterling","0","Units",,,6550.57284999861,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1983-Q1","Q1-1983","GBP","Pound Sterling","0","Units",,,6764.25357327049,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1983-Q2","Q2-1983","GBP","Pound Sterling","0","Units",,,6865.42386647488,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1983-Q3","Q3-1983","GBP","Pound Sterling","0","Units",,,6948.52009881769,,
