"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1979-01","Jan-1979","IDX","Index","0","Units","2015_100","2015=100",7.182455,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1979-02","Feb-1979","IDX","Index","0","Units","2015_100","2015=100",7.219047,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1979-03","Mar-1979","IDX","Index","0","Units","2015_100","2015=100",8.191344,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1979-04","Apr-1979","IDX","Index","0","Units","2015_100","2015=100",8.698402,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1979-05","May-1979","IDX","Index","0","Units","2015_100","2015=100",8.672265,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1979-06","Jun-1979","IDX","Index","0","Units","2015_100","2015=100",8.196571,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1979-07","Jul-1979","IDX","Index","0","Units","2015_100","2015=100",7.919519,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1979-08","Aug-1979","IDX","Index","0","Units","2015_100","2015=100",7.95611,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1979-09","Sep-1979","IDX","Index","0","Units","2015_100","2015=100",8.039749,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1979-10","Oct-1979","IDX","Index","0","Units","2015_100","2015=100",8.128615,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1979-11","Nov-1979","IDX","Index","0","Units","2015_100","2015=100",7.334049,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1979-12","Dec-1979","IDX","Index","0","Units","2015_100","2015=100",7.386323,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1980-01","Jan-1980","IDX","Index","0","Units","2015_100","2015=100",7.632011,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1980-02","Feb-1980","IDX","Index","0","Units","2015_100","2015=100",8.144298,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1980-03","Mar-1980","IDX","Index","0","Units","2015_100","2015=100",7.877699,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1980-04","Apr-1980","IDX","Index","0","Units","2015_100","2015=100",7.757469,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1980-05","May-1980","IDX","Index","0","Units","2015_100","2015=100",7.83588,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1980-06","Jun-1980","IDX","Index","0","Units","2015_100","2015=100",8.191344,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1980-07","Jul-1980","IDX","Index","0","Units","2015_100","2015=100",8.703629,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1980-08","Aug-1980","IDX","Index","0","Units","2015_100","2015=100",8.734994,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1980-09","Sep-1980","IDX","Index","0","Units","2015_100","2015=100",8.928408,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1980-10","Oct-1980","IDX","Index","0","Units","2015_100","2015=100",9.095685,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1980-11","Nov-1980","IDX","Index","0","Units","2015_100","2015=100",9.440694,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1980-12","Dec-1980","IDX","Index","0","Units","2015_100","2015=100",9.10614,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1981-01","Jan-1981","IDX","Index","0","Units","2015_100","2015=100",8.813405,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1981-02","Feb-1981","IDX","Index","0","Units","2015_100","2015=100",9.147959,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1981-03","Mar-1981","IDX","Index","0","Units","2015_100","2015=100",9.310009,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1981-04","Apr-1981","IDX","Index","0","Units","2015_100","2015=100",9.973889,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1981-05","May-1981","IDX","Index","0","Units","2015_100","2015=100",10.05753,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1981-06","Jun-1981","IDX","Index","0","Units","2015_100","2015=100",9.827521,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1981-07","Jul-1981","IDX","Index","0","Units","2015_100","2015=100",9.691609,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1981-08","Aug-1981","IDX","Index","0","Units","2015_100","2015=100",10.15162,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1981-09","Sep-1981","IDX","Index","0","Units","2015_100","2015=100",9.487741,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1981-10","Oct-1981","IDX","Index","0","Units","2015_100","2015=100",8.829087,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1981-11","Nov-1981","IDX","Index","0","Units","2015_100","2015=100",9.456376,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1981-12","Dec-1981","IDX","Index","0","Units","2015_100","2015=100",9.670699,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1982-01","Jan-1982","IDX","Index","0","Units","2015_100","2015=100",9.885023,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1982-02","Feb-1982","IDX","Index","0","Units","2015_100","2015=100",10.20912,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1982-03","Mar-1982","IDX","Index","0","Units","2015_100","2015=100",10.16208,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1982-04","Apr-1982","IDX","Index","0","Units","2015_100","2015=100",10.31367,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1982-05","May-1982","IDX","Index","0","Units","2015_100","2015=100",10.72663,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1982-06","Jun-1982","IDX","Index","0","Units","2015_100","2015=100",10.70573,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1982-07","Jul-1982","IDX","Index","0","Units","2015_100","2015=100",10.65345,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1982-08","Aug-1982","IDX","Index","0","Units","2015_100","2015=100",10.88869,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1982-09","Sep-1982","IDX","Index","0","Units","2015_100","2015=100",11.67802,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1982-10","Oct-1982","IDX","Index","0","Units","2015_100","2015=100",12.26872,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1982-11","Nov-1982","IDX","Index","0","Units","2015_100","2015=100",12.65555,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1982-12","Dec-1982","IDX","Index","0","Units","2015_100","2015=100",12.42031,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1983-01","Jan-1983","IDX","Index","0","Units","2015_100","2015=100",12.65032,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1983-02","Feb-1983","IDX","Index","0","Units","2015_100","2015=100",12.96919,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1983-03","Mar-1983","IDX","Index","0","Units","2015_100","2015=100",13.1992,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1983-04","Apr-1983","IDX","Index","0","Units","2015_100","2015=100",13.94672,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1983-05","May-1983","IDX","Index","0","Units","2015_100","2015=100",13.72194,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1983-06","Jun-1983","IDX","Index","0","Units","2015_100","2015=100",14.459,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1983-07","Jul-1983","IDX","Index","0","Units","2015_100","2015=100",14.23422,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1983-08","Aug-1983","IDX","Index","0","Units","2015_100","2015=100",14.6681,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1983-09","Sep-1983","IDX","Index","0","Units","2015_100","2015=100",14.36491,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1983-10","Oct-1983","IDX","Index","0","Units","2015_100","2015=100",13.97808,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1983-11","Nov-1983","IDX","Index","0","Units","2015_100","2015=100",14.41718,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1983-12","Dec-1983","IDX","Index","0","Units","2015_100","2015=100",14.69946,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1984-01","Jan-1984","IDX","Index","0","Units","2015_100","2015=100",15.56199,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1984-02","Feb-1984","IDX","Index","0","Units","2015_100","2015=100",15.52539,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1984-03","Mar-1984","IDX","Index","0","Units","2015_100","2015=100",16.53428,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1984-04","Apr-1984","IDX","Index","0","Units","2015_100","2015=100",16.85838,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1984-05","May-1984","IDX","Index","0","Units","2015_100","2015=100",16.5523,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1984-06","Jun-1984","IDX","Index","0","Units","2015_100","2015=100",15.95054,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1984-07","Jul-1984","IDX","Index","0","Units","2015_100","2015=100",15.3684,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1984-08","Aug-1984","IDX","Index","0","Units","2015_100","2015=100",16.33259,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1984-09","Sep-1984","IDX","Index","0","Units","2015_100","2015=100",16.8649,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1984-10","Oct-1984","IDX","Index","0","Units","2015_100","2015=100",17.11239,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1984-11","Nov-1984","IDX","Index","0","Units","2015_100","2015=100",17.72687,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1984-12","Dec-1984","IDX","Index","0","Units","2015_100","2015=100",18.23217,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1985-01","Jan-1985","IDX","Index","0","Units","2015_100","2015=100",19.02769,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1985-02","Feb-1985","IDX","Index","0","Units","2015_100","2015=100",19.35816,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1985-03","Mar-1985","IDX","Index","0","Units","2015_100","2015=100",19.558,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1985-04","Apr-1985","IDX","Index","0","Units","2015_100","2015=100",19.50744,,
"SP","Share Prices, Index","GBR","United Kingdom","M","Monthly","1985-05","May-1985","IDX","Index","0","Units","2015_100","2015=100",20.01385,,
