"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1979-01","Jan-1979","PC","Percentage","0","Units",,,-0.617026550709724,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1979-02","Feb-1979","PC","Percentage","0","Units",,,-19.9729619544124,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1979-03","Mar-1979","PC","Percentage","0","Units",,,34.9441583561112,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1979-04","Apr-1979","PC","Percentage","0","Units",,,10.3283434999929,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1979-05","May-1979","PC","Percentage","0","Units",,,-0.288386386521807,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1979-06","Jun-1979","PC","Percentage","0","Units",,,4.10142065720514,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1979-07","Jul-1979","PC","Percentage","0","Units",,,7.01752786327282,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1979-08","Aug-1979","PC","Percentage","0","Units",,,-0.266823072284494,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1979-09","Sep-1979","PC","Percentage","0","Units",,,-2.81120467124644,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1979-10","Oct-1979","PC","Percentage","0","Units",,,-0.591304270995553,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1979-11","Nov-1979","PC","Percentage","0","Units",,,2.73713701322974,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1979-12","Dec-1979","PC","Percentage","0","Units",,,3.70424197352121,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1980-01","Jan-1980","PC","Percentage","0","Units",,,11.3768752472716,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1980-02","Feb-1980","PC","Percentage","0","Units",,,-0.0795862320257514,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1980-03","Mar-1980","PC","Percentage","0","Units",,,-6.24040220182163,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1980-04","Apr-1980","PC","Percentage","0","Units",,,-0.684666093596019,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1980-05","May-1980","PC","Percentage","0","Units",,,5.55532139406079,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1980-06","Jun-1980","PC","Percentage","0","Units",,,3.10434151729192,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1980-07","Jul-1980","PC","Percentage","0","Units",,,3.79719056248075,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1980-08","Aug-1980","PC","Percentage","0","Units",,,-3.31108368165615,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1980-09","Sep-1980","PC","Percentage","0","Units",,,0.766615789667488,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1980-10","Oct-1980","PC","Percentage","0","Units",,,0.205903664116067,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1980-11","Nov-1980","PC","Percentage","0","Units",,,-0.998307560053628,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1980-12","Dec-1980","PC","Percentage","0","Units",,,-0.0553873508220405,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1981-01","Jan-1981","PC","Percentage","0","Units",,,4.60080579321245,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1981-02","Feb-1981","PC","Percentage","0","Units",,,-7.60712276940067,,
"XTEXVA01","Exports in goods, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1981-03","Mar-1981","PC","Percentage","0","Units",,,-0.830061752866988,,
